name,batch,exp_date,mfg_date,manufacturer,serial_num
Leftose,T123,20240516,20210214,Wellchem Pharma,11LT96230001
Leftose,T123,20240516,20210214,Wellchem Pharma,11LT96230002
Leftose,T123,20240516,20210214,Wellchem Pharma,11LT96230003
Leftose,T123,20240516,20210214,Wellchem Pharma,11LT96230004
Leftose,T123,20240516,20210214,Wellchem Pharma,11LT96230005
Leftose,T123,20240516,20210214,Wellchem Pharma,11LT96230006
Leftose,T123,20240516,20210214,Wellchem Pharma,11LT96230007
Leftose,T123,20240516,20210214,Wellchem Pharma,11LT96230008
Leftose,T123,20240516,20210214,Wellchem Pharma,11LT96230009
Leftose,T123,20240516,20210214,Wellchem Pharma,11LT96230010
Leftose,T123,20240516,20210214,Wellchem Pharma,11LT96230011
Leftose,T123,20240516,20210214,Wellchem Pharma,11LT96230012
Leftose,T123,20240516,20210214,Wellchem Pharma,11LT96230013
Leftose,T123,20240516,20210214,Wellchem Pharma,11LT96230014
Leftose,T123,20240516,20210214,Wellchem Pharma,11LT96230015
Leftose,T123,20240516,20210214,Wellchem Pharma,11LT96230016
Leftose,T123,20240516,20210214,Wellchem Pharma,11LT96230017
Leftose,T123,20240516,20210214,Wellchem Pharma,11LT96230018
Leftose,T123,20240516,20210214,Wellchem Pharma,11LT96230019
Leftose,T123,20240516,20210214,Wellchem Pharma,11LT96230020
Leftose,T223,20260718,20230421,Wellchem Pharma,11LT97230001
Leftose,T223,20260718,20230421,Wellchem Pharma,11LT97230002
Leftose,T223,20260718,20230421,Wellchem Pharma,11LT97230003
Leftose,T223,20260718,20230421,Wellchem Pharma,11LT97230004
Leftose,T223,20260718,20230421,Wellchem Pharma,11LT97230005
Leftose,T223,20260718,20230421,Wellchem Pharma,11LT97230006
Leftose,T223,20260718,20230421,Wellchem Pharma,11LT97230007
Leftose,T223,20260718,20230421,Wellchem Pharma,11LT97230008
Leftose,T223,20260718,20230421,Wellchem Pharma,11LT97230009
Leftose,T223,20260718,20230421,Wellchem Pharma,11LT97230010
Leftose,T223,20260718,20230421,Wellchem Pharma,11LT97230011
Leftose,T223,20260718,20230421,Wellchem Pharma,11LT97230012
Leftose,T223,20260718,20230421,Wellchem Pharma,11LT97230013
Leftose,T223,20260718,20230421,Wellchem Pharma,11LT97230014
Leftose,T223,20260718,20230421,Wellchem Pharma,11LT97230015
Leftose,T223,20260718,20230421,Wellchem Pharma,11LT97230016
Leftose,T223,20260718,20230421,Wellchem Pharma,11LT97230017
Leftose,T223,20260718,20230421,Wellchem Pharma,11LT97230018
Leftose,T223,20260718,20230421,Wellchem Pharma,11LT97230019
Leftose,T223,20260718,20230421,Wellchem Pharma,11LT97230020
Zyrtec,SB649B1,20250218,20220108,Johnson & Johnson,21ZT20250218001
Zyrtec,SB649B1,20250218,20220108,Johnson & Johnson,21ZT20250218002
Zyrtec,SB649B1,20250218,20220108,Johnson & Johnson,21ZT20250218003
Zyrtec,SB649B1,20250218,20220108,Johnson & Johnson,21ZT20250218004
Zyrtec,SB649B1,20250218,20220108,Johnson & Johnson,21ZT20250218005
Zyrtec,SB649B1,20250218,20220108,Johnson & Johnson,21ZT20250218006
Zyrtec,SB649B1,20250218,20220108,Johnson & Johnson,21ZT20250218007
Zyrtec,SB649B1,20250218,20220108,Johnson & Johnson,21ZT20250218008
Zyrtec,SB649B1,20250218,20220108,Johnson & Johnson,21ZT20250218009
Zyrtec,SB649B1,20250218,20220108,Johnson & Johnson,21ZT20250218010
Human Papillomavirus (HPV) Vaccine,B281CD22,20210718,20180823,MSD,33CD3781210001
Human Papillomavirus (HPV) Vaccine,B281CD22,20210718,20180823,MSD,33CD3781210002
Human Papillomavirus (HPV) Vaccine,B281CD22,20210718,20180823,MSD,33CD3781210003
Human Papillomavirus (HPV) Vaccine,B281CD22,20210718,20180823,MSD,33CD3781210004
Human Papillomavirus (HPV) Vaccine,B281CD22,20210718,20180823,MSD,33CD3781210005
Human Papillomavirus (HPV) Vaccine,B281CD22,20210718,20180823,MSD,33CD3781210006
Human Papillomavirus (HPV) Vaccine,B281CD22,20210718,20180823,MSD,33CD3781210007
Human Papillomavirus (HPV) Vaccine,B281CD22,20210718,20180823,MSD,33CD3781210008
Human Papillomavirus (HPV) Vaccine,B281CD22,20210718,20180823,MSD,33CD3781210009
Human Papillomavirus (HPV) Vaccine,B281CD22,20210718,20180823,MSD,33CD3781210010
Human Papillomavirus (HPV) Vaccine,B281CD22,20210718,20180823,MSD,33CD3781210011
Human Papillomavirus (HPV) Vaccine,B281CD22,20210718,20180823,MSD,33CD3781210012
Human Papillomavirus (HPV) Vaccine,B281CD22,20210718,20180823,MSD,33CD3781210013
Human Papillomavirus (HPV) Vaccine,B281CD22,20210718,20180823,MSD,33CD3781210014
Human Papillomavirus (HPV) Vaccine,B281CD22,20210718,20180823,MSD,33CD3781210015
Human Papillomavirus (HPV) Vaccine,B281CD22,20210718,20180823,MSD,33CD3781210016
Human Papillomavirus (HPV) Vaccine,B281CD22,20210718,20180823,MSD,33CD3781210017
Human Papillomavirus (HPV) Vaccine,B281CD22,20210718,20180823,MSD,33CD3781210018
Human Papillomavirus (HPV) Vaccine,B281CD22,20210718,20180823,MSD,33CD3781210019
Human Papillomavirus (HPV) Vaccine,B281CD22,20210718,20180823,MSD,33CD3781210020
